deputyName,expenseType,amount,year,month,day,sellerName,partyAcronym,stateAcronym
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,52.98,2023,september,19,3XIS COMERCIO VAREJISTA E ATACADISTA DE PAPELARIA LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,67.3,2023,november,27,AGUAS CUIABA S.A,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,43.2,2023,may,5,AGUAS CUIABA S.A,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,43.2,2023,june,5,AGUAS CUIABA S.A,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,43.2,2023,july,5,AGUAS CUIABA S.A,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,43.2,2023,august,25,AGUAS CUIABA S.A,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,118.15,2023,september,6,AGUAS CUIABA S.A,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,67.3,2023,december,26,AGUAS CUIABA S.A,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,43.2,2023,april,25,AGUAS CUIABA S.A,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1500,2023,may,2,BRASIL ONE SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA DEXATEC,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1600,2023,september,4,BRASIL ONE SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA DEXATEC,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1050,2023,december,13,BROAD BRASIL LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,850,2023,may,23,BROADBRASIL LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,850,2023,june,22,BROADBRASIL LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,850,2023,july,10,BROADBRASIL LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,850,2023,august,18,BROADBRASIL LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,850,2023,september,18,BROADBRASIL LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2051,2023,april,19,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2033.08,2023,november,13,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,492.64,2023,march,15,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,2070.45,2023,september,14,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,748.19,2023,july,14,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1151.09,2023,june,14,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1320.5,2023,august,14,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1852.99,2023,december,14,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,1941.1,2023,may,16,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,119.99,2023,july,8,Telefônica Brasil S.A. VIVO,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,122.36,2023,august,8,Telefônica Brasil S.A. VIVO,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,119.99,2023,july,8,Telefônica Brasil S.A. VIVO,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,122.36,2023,august,8,Telefônica Brasil S.A. VIVO,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,november,10,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,december,5,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,april,18,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,may,4,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,june,6,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,july,5,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,august,2,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,september,1,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,october,2,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,8320,2023,march,27,VYP GESTÃO DE NEGÓCIOS IMOBILIARIOS LTDA,PL,MT
Abilio Brunini,MANUTENÇÃO DE ESCRITÓRIO DE APOIO À ATIVIDADE PARLAMENTAR,358.25,2023,march,8,WMS COMERCIO DE ARTIGOS DE PAPELARIA LTDA-ME,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,313.7,2023,march,29,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,273.29,2023,october,8,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,269.09,2023,october,31,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,20,2023,november,23,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,207.65,2023,december,13,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,241.65,2023,december,21,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,234.61,2023,october,31,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,110.92,2023,november,30,063 - 311 SUL - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,231.14,2023,april,27,069 - PENISULA - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
Abilio Brunini,COMBUSTÍVEIS E LUBRIFICANTES.,286.52,2023,february,24,076 - MELHOR 10 - CASCOL COMBUSTIVEIS PARA VEICULOS LTDA,PL,MT
